critics_name,critics_cn,movie_name,movie_dir,movie_genre,movie_year,dir_country_cleaned,imdb_score_cleaned
Alaka Sahani ,India,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Rasha Salti ,Lebanon,The Time That Remains,Elia Suleiman,"Drama, History",2009,Israel,7.1
Rasha Salti ,Lebanon,Men at Work,Mani Haghighi,"Comedy, Drama, Romance",2006,Iran,7.1
Rasha Salti ,Lebanon,A Touch of Sin,Jia Zhangke,"Action, Drama",2013,China,7.1
Rasha Salti ,Lebanon,My Heart Beats Only for Her,Mohamed Soueid,,2009,Lebanon,
Eric Sasono ,Indonesia,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Eric Sasono ,Indonesia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Nick Schager ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Nick Schager ,US,Three Times,Hou Hsiao-hsien,"Drama, Romance",2005,China,7.0
Nick Schager ,US,Pulse,Kiyoshi Kurosawa,"Horror, Sci-Fi, Thriller",2001,Japan,4.7
Missy Schwartz ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Missy Schwartz ,US,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
Missy Schwartz ,US,"Crouching Tiger, Hidden Dragon",Ang Lee,"Action, Adventure, Fantasy",2000,Taiwan,7.9
Matt Zoller ,US,Gett: The Trial of Viviane Amselem,Ronit Elkabetz and Shlomi Elkabetz,Drama,2014,Israel,7.7
Matt Zoller ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Avner Shavit ,Israel,A Touch of Sin,Jia Zhangke,"Action, Drama",2013,China,7.1
Yael Shuv ,Israel,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Yael Shuv ,Israel,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Yael Shuv ,Israel,Still Walking,Hirokazu Koreeda,Drama,2008,Japan,8.0
Yael Shuv ,Israel,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
Yael Shuv ,Israel,"Crouching Tiger, Hidden Dragon",Ang Lee,"Action, Adventure, Fantasy",2000,Taiwan,7.9
Soh Jae ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Soh Jae ,US,Memories of Murder,Bong Joon-ho,"Action, Crime, Drama",2003,South Korea,8.1
Fernanda Solórzano ,Mexico,Still Walking,Hirokazu Koreeda,Drama,2008,Japan,8.0
David Stratton ,Australia,Distant,Nuri Bilge Ceylan,Drama,2002,Turkey,7.7
David Stratton ,Australia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
David Stratton ,Australia,Still Walking,Hirokazu Koreeda,Drama,2008,Japan,8.0
Cédric Succivalli ,Italy,Tropical Malady,Apichatpong Weerasethakul,"Drama, Fantasy, Romance",2004,Thailand,7.3
Alin Tasciyan ,Turkey,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Alin Tasciyan ,Turkey,Journey to the West,Tsai Ming-liang,"Action, Adventure, Comedy",2014,Malaysia,6.8
Alin Tasciyan ,Turkey,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Ella Taylor ,US,The Band’s Visit,Eran Kolirin,"Comedy, Drama, Music",2007,Israel,7.6
Stephen Teo ,Singapore,The Assassin,Hou Hsiao-hsien,"Action, Crime, Drama",2015,China,6.0
Stephen Teo ,Singapore,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,"Drama, Fantasy",2010,Thailand,6.6
Stephen Teo ,Singapore,A Tale of Two Sisters,Kim Jee-woon,"Drama, Horror, Mystery",2003,South Korea,7.2
Stephen Teo ,Singapore,Still Life,Jia Zhangke,"Comedy, Drama, Romance",2006,China,5.6
Stephen Teo ,Singapore,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Stephen Teo ,Singapore,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Kristin Thompson ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Kristin Thompson ,US,About Elly,Asghar Farhadi,"Drama, Mystery, Thriller",2009,Iran,8.1
Scott Tobias ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Scott Tobias ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Scott Tobias ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3
Peter Travers ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Rahul Verma ,UK,Gangs of Wasseypur,Anurag Kashyap,"Action, Crime, Drama",2012,India,8.2
Rahul Verma ,UK,The Assassin,Hou Hsiao-hsien,"Action, Crime, Drama",2015,China,6.0
Rahul Verma ,UK,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Rahul Verma ,UK,Tropical Malady,Apichatpong Weerasethakul,"Drama, Fantasy, Romance",2004,Thailand,7.3
Rahul Verma ,UK,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Rahul Verma ,UK,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Rahul Verma ,UK,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Stephen Whitty ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Alissa Wilkinson ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Jake Wilson ,Australia,Like Someone In Love,Abbas Kiarostami,Drama,2012,Iran,7.0
Jake Wilson ,Australia,Blissfully Yours,Apichatpong Weerasethakul,"Drama, Romance",2002,Thailand,7.0
Jake Wilson ,Australia,I Don't Want to Sleep Alone,Tsai Ming-liang,"Drama, Romance",2006,Malaysia,7.0
Stephanie Zacharek ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Stephanie Zacharek ,US,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
Chadi Zeneddine ,Qatar,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Chadi Zeneddine ,Qatar,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Chadi Zeneddine ,Qatar,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
Raymond Zhou ,China,The Sun Also Rises,Jiang Wen,Drama,2007,China,6.3
Raymond Zhou ,China,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Raymond Zhou ,China,"Lust, Caution",Ang Lee,"Drama, History, Romance",2007,Taiwan,7.6
Raymond Zhou ,China,Still Life,Jia Zhangke,"Comedy, Drama, Romance",2006,China,5.6
